Metric,Diplomatic Network,Trade Network,Combined Network
Nodes,150.0,150.0,150.0
Edges,149.0,149.0,210.0
Average Degree,1.987,1.987,2.8
Graph Density,0.007,0.007,0.009
Strongly Connected Components,139.0,150.0,138.0
Largest Component Size,7.0,1.0,8.0
Network Diameter,6.0,0.0,7.0
Communities,13.0,13.0,11.0
Modularity,0.842,0.832,0.658
