Metric,Diplomatic_Min,Diplomatic_Max,Diplomatic_Mean,Diplomatic_StdDev,Trade_Min,Trade_Max,Trade_Mean,Trade_StdDev,Combined_Min,Combined_Max,Combined_Mean,Combined_StdDev
In_Degree,0.0,0.074,0.007,0.012,0.0,0.074,0.007,0.012,0.0,0.107,0.009,0.017
Out_Degree,0.0,0.007,0.007,0.001,0.0,0.007,0.007,0.001,0.0,0.013,0.009,0.003
Degree,0.007,0.081,0.013,0.011,0.007,0.081,0.013,0.011,0.007,0.121,0.019,0.017
Betweenness,0.0,0.012,0.001,0.002,0.0,0.006,0.0,0.001,0.0,0.031,0.003,0.006
Closeness,0.0,0.126,0.012,0.024,0.0,0.253,0.012,0.03,0.0,0.287,0.024,0.05
Eigenvector,0.0,0.334,0.024,0.078,0.0,1.0,0.007,0.082,0.0,0.652,0.024,0.078
PageRank,0.001,0.075,0.007,0.014,0.002,0.152,0.007,0.016,0.002,0.092,0.007,0.013
Clustering,0.0,1.0,0.008,0.082,0.0,0.0,0.0,0.0,0.0,1.0,0.017,0.093
Community,1.0,13.0,6.853,3.926,1.0,13.0,7.027,3.638,1.0,11.0,6.413,3.222
